"model_name","src_path","is_parsed","ref_resolving_error","syntax_error","error_codes"
"","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette/isolette/Power_Properties.aadl","false","0","1","[]"
"isolette_heat_source","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/IsoletteThermostat/HeatSource/isolette_heat_source.aadl","true","7","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking, org.osate.xtext.aadl2.properties.missing_with, org.osate.xtext.aadl2.with_not_used]"
"isolette_operator_interface","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/IsoletteThermostat/OperatorInterface/isolette_operator_interface.aadl","false","10","1","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"isolette_integration_1","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette_integration_1/isolette_integration_1.aadl","false","9","1","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"isolette","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette/isolette/isolette.aadl","true","0","3","[]"
"isolette","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette/isolette/isolette.aadl","false","0","3","[]"
"isolette","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette/isolette/isolette.aadl","false","0","3","[]"
"isolette","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette/isolette/isolette.aadl","false","0","3","[]"
"isolette_heat_source","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette_heat_source/isolette_heat_source.aadl","true","0","0","[]"
"isolette_operator_interface","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette_operator_interface/isolette_operator_interface.aadl","true","0","0","[]"
"","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette_heat_source/Data_Model.aadl","false","0","1","[]"
"isolette_thermostat","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette_thermostat/isolette_thermostat/isolette_thermostat.aadl","false","0","2","[]"
"isolette_thermostat","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette_thermostat/isolette_thermostat/isolette_thermostat.aadl","false","0","2","[]"
"isolette_temperature_sensor","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/others/repositories-aadl/a333/isolette_temperature_sensor/isolette_temperature_sensor.aadl","true","0","0","[]"
